z_obs pos_0[rad] pos_1[rad] mag_SDSS_u mag_SDSS_g mag_SDSS_r mag_SDSS_i mag_SDSS_z mag_J mag_H mag_K Mstar
0.544728 -0.000561000015594 -9.85236683938e-05 26.9164 26.4773 25.4782 24.879 24.6154 24.2489 24.0785 24.0208 6.76113201154
0.534495 -0.00129410001559 -4.96236683938e-05 25.6572 25.6296 25.0349 24.7359 24.6593 24.5219 24.4943 24.5468 7.73865491014
0.532206 -0.00138790001559 0.000223086331606 26.1804 23.7638 22.1595 21.1408 20.6559 20.0143 19.611 19.4504 9.41338835948
0.532269 -0.000740700015594 0.000175376331606 23.9977 23.4945 22.4801 21.9336 21.7135 21.3957 21.2462 21.2022 8.38869265557
0.544262 -0.000751300015594 -0.000257723668394 24.2301 23.5924 22.6601 22.1155 21.8092 21.2527 20.8357 20.6269 9.68280168634
0.544793 -0.00122410001559 -0.000269623668394 28.4054 26.7662 25.3376 24.5297 24.1725 23.7293 23.5202 23.4372 7.68866381503
0.544141 -0.000532900015594 0.000372466331606 25.5085 24.9473 23.9381 23.3639 23.1143 22.7338 22.5247 22.4309 8.20909938874
0.544864 -0.000706300015594 0.000123676331606 27.3776 25.6356 24.1957 23.3847 23.0261 22.5885 22.3821 22.2897 7.05378723535
0.546435 -0.000795000015594 0.000118576331606 25.6819 25.2317 24.2733 23.6824 23.426 23.0653 22.8889 22.8202 8.24753894566
0.534779 -0.00140000001559 -4.07236683938e-05 26.5538 25.8751 24.7549 24.1038 23.826 23.4651 23.3194 23.2582 6.55905314491
0.546956 -0.000835300015594 -0.000629523668394 22.4916 21.4768 20.2568 19.5675 19.2313 18.6992 18.3215 18.152 11.0027563081
0.547126 -0.000835300015594 -0.000562023668394 26.0528 25.7575 24.9214 24.4665 24.3024 24.0513 23.94 23.9125 7.46630334074
0.5896 -0.000832200015594 0.000274286331606 22.5633 22.3344 21.6004 21.1619 20.9907 20.6963 20.5118 20.4541 9.74575777236
0.534229 -0.000814900015594 -0.000259423668394 26.7195 26.7035 26.1326 25.8922 25.8841 25.8507 25.8836 26.0024 6.42507138805
0.5343 -0.000817900015594 -0.000125923668394 27.42 25.9473 24.4893 23.6798 23.2911 22.7689 22.483 22.3548 8.14602086467
0.531283 -0.00138350001559 0.000279736331606 27.8797 27.4513 26.4745 25.9254 25.6921 25.3893 25.2971 25.2716 6.66704277774
0.546258 -0.000897000015594 -0.000902323668394 24.2723 23.7647 22.8063 22.2203 21.9571 21.5563 21.3271 21.234 9.16590440869
0.54479 -0.000894400015594 -0.000822223668394 25.3631 24.8188 23.8218 23.2302 22.9651 22.571 22.3535 22.2655 8.31642383774
0.544856 -0.000725100015594 -0.000293723668394 28.7887 26.824 25.3708 24.5071 24.1124 23.6333 23.4032 23.31 6.34693142769
0.543658 -0.000770500015594 -0.000482023668394 24.3334 24.1952 23.4716 23.0387 22.8702 22.5998 22.4545 22.4163 8.33563446643
0.544006 -0.000577400015594 -0.000245523668394 26.9494 26.4972 25.5802 24.986 24.6963 24.2682 24.0384 23.9567 7.12295047233
0.541671 -0.000572500015594 0.000199906331606 25.5319 24.0555 22.6376 21.7899 21.4056 20.9072 20.6427 20.5476 8.87019004542
0.590258 -0.000780700015594 -0.000519623668394 28.101 27.6111 26.6154 25.9936 25.7142 25.3501 25.2001 25.1407 6.60974262652
0.54289 -0.000541300015594 -3.49236683938e-05 25.7255 25.4557 24.6177 24.1668 24.0026 23.7542 23.6429 23.617 6.85051646942
0.546858 -0.000524600015594 2.36763316062e-05 25.9475 25.6309 24.7204 24.1878 23.96 23.6305 23.4679 23.4185 7.55536539406
0.591161 -0.000693100015594 -0.000287123668394 23.0267 22.629 21.7644 21.1853 20.9104 20.4787 20.2213 20.1242 10.0699215291
